Date,pharm_classes,Actual_Rx
2023-01-03,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors",9
2023-01-03,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists",10
2023-01-03,"Cytochrome P450 2D6 Inhibitors, Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",11
2023-01-03,"Increased Diuresis at Loop of Henle, Loop Diuretic",11
2023-01-03,"Increased Diuresis, Thiazide Diuretic, Thiazides",16
2023-01-03,"Insulin Analog, Insulin",16
2023-01-03,"Macrolide Antimicrobial, Macrolides",8
2023-01-03,"Penicillin-class Antibacterial, Penicillins",18
2023-01-03,"Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",6
2023-01-03,"Thyroxine, l-Thyroxine",8
2023-01-04,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist",22
2023-01-04,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors",12
2023-01-04,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity",10
2023-01-04,"Biguanide, Biguanides",11
2023-01-04,"Corticosteroid Hormone Receptor Agonists, Corticosteroid",12
2023-01-04,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors",6
2023-01-04,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists",9
2023-01-04,"Cytochrome P450 2D6 Inhibitors, Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",8
2023-01-04,"Increased Diuresis at Loop of Henle, Loop Diuretic",7
2023-01-04,"Increased Diuresis, Thiazide Diuretic, Thiazides",10
2023-01-04,"Insulin Analog, Insulin",11
2023-01-04,"Macrolide Antimicrobial, Macrolides",11
2023-01-04,"Penicillin-class Antibacterial, Penicillins",19
2023-01-04,"Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",12
2023-01-04,"Thyroxine, l-Thyroxine",11
2023-01-05,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist",18
2023-01-05,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors",13
2023-01-05,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity",6
2023-01-05,"Biguanide, Biguanides",15
2023-01-05,"Corticosteroid Hormone Receptor Agonists, Corticosteroid",12
2023-01-05,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors",12
2023-01-05,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists",8
2023-01-05,"Cytochrome P450 2D6 Inhibitors, Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",10
2023-01-05,"Increased Diuresis at Loop of Henle, Loop Diuretic",9
2023-01-05,"Increased Diuresis, Thiazide Diuretic, Thiazides",14
2023-01-05,"Insulin Analog, Insulin",12
2023-01-05,"Macrolide Antimicrobial, Macrolides",13
2023-01-05,"Penicillin-class Antibacterial, Penicillins",24
2023-01-05,"Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",8
2023-01-05,"Thyroxine, l-Thyroxine",13
2023-01-06,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist",22
2023-01-06,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors",8
2023-01-06,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity",9
2023-01-06,"Biguanide, Biguanides",9
2023-01-06,"Corticosteroid Hormone Receptor Agonists, Corticosteroid",15
2023-01-06,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors",10
2023-01-06,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists",12
2023-01-06,"Cytochrome P450 2D6 Inhibitors, Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",9
2023-01-06,"Increased Diuresis at Loop of Henle, Loop Diuretic",6
2023-01-06,"Increased Diuresis, Thiazide Diuretic, Thiazides",17
2023-01-06,"Insulin Analog, Insulin",5
2023-01-06,"Macrolide Antimicrobial, Macrolides",10
2023-01-06,"Penicillin-class Antibacterial, Penicillins",14
2023-01-06,"Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",7
2023-01-06,"Thyroxine, l-Thyroxine",12
2023-01-07,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist",25
2023-01-07,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors",11
2023-01-07,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity",9
2023-01-07,"Biguanide, Biguanides",7
2023-01-07,"Corticosteroid Hormone Receptor Agonists, Corticosteroid",13
2023-01-07,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors",10
2023-01-07,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists",9
2023-01-07,"Cytochrome P450 2D6 Inhibitors, Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",4
2023-01-07,"Increased Diuresis at Loop of Henle, Loop Diuretic",2
2023-01-07,"Increased Diuresis, Thiazide Diuretic, Thiazides",10
2023-01-07,"Insulin Analog, Insulin",10
2023-01-07,"Macrolide Antimicrobial, Macrolides",5
2023-01-07,"Penicillin-class Antibacterial, Penicillins",16
2023-01-07,"Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",7
2023-01-07,"Thyroxine, l-Thyroxine",6
2023-01-08,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist",19
2023-01-08,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors",9
2023-01-08,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity",7
2023-01-08,"Biguanide, Biguanides",11
2023-01-08,"Corticosteroid Hormone Receptor Agonists, Corticosteroid",14
2023-01-08,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors",10
2023-01-08,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists",12
2023-01-08,"Cytochrome P450 2D6 Inhibitors, Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",3
2023-01-08,"Increased Diuresis at Loop of Henle, Loop Diuretic",4
2023-01-08,"Increased Diuresis, Thiazide Diuretic, Thiazides",16
2023-01-08,"Insulin Analog, Insulin",12
2023-01-08,"Macrolide Antimicrobial, Macrolides",9
2023-01-08,"Penicillin-class Antibacterial, Penicillins",17
2023-01-08,"Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",8
2023-01-08,"Thyroxine, l-Thyroxine",12
2023-01-09,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist",14
2023-01-09,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors",6
2023-01-09,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity",10
2023-01-09,"Biguanide, Biguanides",13
2023-01-09,"Corticosteroid Hormone Receptor Agonists, Corticosteroid",12
2023-01-09,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors",10
2023-01-09,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists",3
2023-01-09,"Cytochrome P450 2D6 Inhibitors, Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",7
2023-01-09,"Increased Diuresis at Loop of Henle, Loop Diuretic",6
2023-01-09,"Increased Diuresis, Thiazide Diuretic, Thiazides",15
2023-01-09,"Insulin Analog, Insulin",15
2023-01-09,"Macrolide Antimicrobial, Macrolides",9
2023-01-09,"Penicillin-class Antibacterial, Penicillins",17
2023-01-09,"Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",4
2023-01-09,"Thyroxine, l-Thyroxine",11
2023-01-10,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist",13
2023-01-10,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors",14
2023-01-10,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity",9
2023-01-10,"Biguanide, Biguanides",7
2023-01-10,"Corticosteroid Hormone Receptor Agonists, Corticosteroid",11
2023-01-10,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors",10
2023-01-10,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists",8
2023-01-10,"Cytochrome P450 2D6 Inhibitors, Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",6
2023-01-10,"Increased Diuresis at Loop of Henle, Loop Diuretic",10
2023-01-10,"Increased Diuresis, Thiazide Diuretic, Thiazides",7
2023-01-10,"Insulin Analog, Insulin",9
2023-01-10,"Macrolide Antimicrobial, Macrolides",6
2023-01-10,"Penicillin-class Antibacterial, Penicillins",15
2023-01-10,"Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",4
2023-01-10,"Thyroxine, l-Thyroxine",14
2023-01-11,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist",12
2023-01-11,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors",11
2023-01-11,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity",14
2023-01-11,"Biguanide, Biguanides",16
2023-01-11,"Corticosteroid Hormone Receptor Agonists, Corticosteroid",13
2023-01-11,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors",11
2023-01-11,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists",11
2023-01-11,"Cytochrome P450 2D6 Inhibitors, Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",11
2023-01-11,"Increased Diuresis at Loop of Henle, Loop Diuretic",7
2023-01-11,"Increased Diuresis, Thiazide Diuretic, Thiazides",16
2023-01-11,"Insulin Analog, Insulin",9
2023-01-11,"Macrolide Antimicrobial, Macrolides",8
2023-01-11,"Penicillin-class Antibacterial, Penicillins",18
2023-01-11,"Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",5
2023-01-11,"Thyroxine, l-Thyroxine",7
2023-01-12,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist",19
2023-01-12,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors",13
2023-01-12,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity",10
2023-01-12,"Biguanide, Biguanides",12
2023-01-12,"Corticosteroid Hormone Receptor Agonists, Corticosteroid",12
2023-01-12,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors",4
2023-01-12,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists",6
2023-01-12,"Cytochrome P450 2D6 Inhibitors, Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",6
2023-01-12,"Increased Diuresis at Loop of Henle, Loop Diuretic",4
2023-01-12,"Increased Diuresis, Thiazide Diuretic, Thiazides",20
2023-01-12,"Insulin Analog, Insulin",14
2023-01-12,"Macrolide Antimicrobial, Macrolides",15
2023-01-12,"Penicillin-class Antibacterial, Penicillins",17
2023-01-12,"Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",8
2023-01-12,"Thyroxine, l-Thyroxine",7
2023-01-13,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist",16
2023-01-13,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors",9
2023-01-13,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity",12
2023-01-13,"Biguanide, Biguanides",18
2023-01-13,"Corticosteroid Hormone Receptor Agonists, Corticosteroid",12
2023-01-13,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors",13
2023-01-13,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists",10
2023-01-13,"Cytochrome P450 2D6 Inhibitors, Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",5
2023-01-13,"Increased Diuresis at Loop of Henle, Loop Diuretic",5
2023-01-13,"Increased Diuresis, Thiazide Diuretic, Thiazides",19
2023-01-13,"Insulin Analog, Insulin",10
2023-01-13,"Macrolide Antimicrobial, Macrolides",8
2023-01-13,"Penicillin-class Antibacterial, Penicillins",22
2023-01-13,"Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",6
2023-01-13,"Thyroxine, l-Thyroxine",6
2023-01-14,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist",16
2023-01-14,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors",10
2023-01-14,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity",5
2023-01-14,"Biguanide, Biguanides",14
2023-01-14,"Corticosteroid Hormone Receptor Agonists, Corticosteroid",8
2023-01-14,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors",8
2023-01-14,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists",12
2023-01-14,"Cytochrome P450 2D6 Inhibitors, Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",15
2023-01-14,"Increased Diuresis at Loop of Henle, Loop Diuretic",7
2023-01-14,"Increased Diuresis, Thiazide Diuretic, Thiazides",14
2023-01-14,"Insulin Analog, Insulin",7
2023-01-14,"Macrolide Antimicrobial, Macrolides",8
2023-01-14,"Penicillin-class Antibacterial, Penicillins",13
2023-01-14,"Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",7
2023-01-14,"Thyroxine, l-Thyroxine",8
2023-01-15,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist",15
2023-01-15,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors",6
2023-01-15,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity",9
2023-01-15,"Biguanide, Biguanides",13
2023-01-15,"Corticosteroid Hormone Receptor Agonists, Corticosteroid",4
2023-01-15,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors",10
2023-01-15,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists",6
2023-01-15,"Cytochrome P450 2D6 Inhibitors, Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",11
2023-01-15,"Increased Diuresis at Loop of Henle, Loop Diuretic",11
2023-01-15,"Increased Diuresis, Thiazide Diuretic, Thiazides",5
2023-01-15,"Insulin Analog, Insulin",6
2023-01-15,"Macrolide Antimicrobial, Macrolides",10
2023-01-15,"Penicillin-class Antibacterial, Penicillins",19
2023-01-15,"Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",7
2023-01-15,"Thyroxine, l-Thyroxine",6
2023-01-16,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist",13
2023-01-16,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors",7
2023-01-16,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity",10
2023-01-16,"Biguanide, Biguanides",14
2023-01-16,"Corticosteroid Hormone Receptor Agonists, Corticosteroid",20
2023-01-16,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors",12
2023-01-16,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists",12
2023-01-16,"Cytochrome P450 2D6 Inhibitors, Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",6
2023-01-16,"Increased Diuresis at Loop of Henle, Loop Diuretic",12
2023-01-16,"Increased Diuresis, Thiazide Diuretic, Thiazides",7
2023-01-16,"Insulin Analog, Insulin",10
2023-01-16,"Macrolide Antimicrobial, Macrolides",5
2023-01-16,"Penicillin-class Antibacterial, Penicillins",27
2023-01-16,"Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",8
2023-01-16,"Thyroxine, l-Thyroxine",16
2023-01-17,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist",26
2023-01-17,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors",11
2023-01-17,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity",12
2023-01-17,"Biguanide, Biguanides",12
2023-01-17,"Corticosteroid Hormone Receptor Agonists, Corticosteroid",12
2023-01-17,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors",15
2023-01-17,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists",10
2023-01-17,"Cytochrome P450 2D6 Inhibitors, Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",9
2023-01-17,"Increased Diuresis at Loop of Henle, Loop Diuretic",4
2023-01-17,"Increased Diuresis, Thiazide Diuretic, Thiazides",15
2023-01-17,"Insulin Analog, Insulin",7
2023-01-17,"Macrolide Antimicrobial, Macrolides",3
2023-01-17,"Penicillin-class Antibacterial, Penicillins",17
2023-01-17,"Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",14
2023-01-17,"Thyroxine, l-Thyroxine",13
2023-01-18,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist",22
2023-01-18,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors",17
2023-01-18,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity",2
2023-01-18,"Biguanide, Biguanides",20
2023-01-18,"Corticosteroid Hormone Receptor Agonists, Corticosteroid",13
2023-01-18,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors",12
2023-01-18,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists",10
2023-01-18,"Cytochrome P450 2D6 Inhibitors, Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",6
2023-01-18,"Increased Diuresis at Loop of Henle, Loop Diuretic",12
2023-01-18,"Increased Diuresis, Thiazide Diuretic, Thiazides",10
2023-01-18,"Insulin Analog, Insulin",6
2023-01-18,"Macrolide Antimicrobial, Macrolides",15
2023-01-18,"Penicillin-class Antibacterial, Penicillins",20
2023-01-18,"Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",13
2023-01-18,"Thyroxine, l-Thyroxine",12
2023-01-19,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist",15
2023-01-19,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors",16
2023-01-19,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity",11
2023-01-19,"Biguanide, Biguanides",6
2023-01-19,"Corticosteroid Hormone Receptor Agonists, Corticosteroid",8
2023-01-19,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors",9
2023-01-19,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists",11
2023-01-19,"Cytochrome P450 2D6 Inhibitors, Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",7
2023-01-19,"Increased Diuresis at Loop of Henle, Loop Diuretic",13
2023-01-19,"Increased Diuresis, Thiazide Diuretic, Thiazides",16
2023-01-19,"Insulin Analog, Insulin",8
2023-01-19,"Macrolide Antimicrobial, Macrolides",6
2023-01-19,"Penicillin-class Antibacterial, Penicillins",22
2023-01-19,"Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",9
2023-01-19,"Thyroxine, l-Thyroxine",12
2023-01-20,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist",13
2023-01-20,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors",11
2023-01-20,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity",9
2023-01-20,"Biguanide, Biguanides",19
2023-01-20,"Corticosteroid Hormone Receptor Agonists, Corticosteroid",13
2023-01-20,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors",10
2023-01-20,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists",7
2023-01-20,"Cytochrome P450 2D6 Inhibitors, Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",5
2023-01-20,"Increased Diuresis at Loop of Henle, Loop Diuretic",5
2023-01-20,"Increased Diuresis, Thiazide Diuretic, Thiazides",11
2023-01-20,"Insulin Analog, Insulin",14
2023-01-20,"Macrolide Antimicrobial, Macrolides",10
2023-01-20,"Penicillin-class Antibacterial, Penicillins",27
2023-01-20,"Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",5
2023-01-20,"Thyroxine, l-Thyroxine",9
2023-01-21,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist",18
2023-01-21,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors",10
2023-01-21,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity",6
2023-01-21,"Biguanide, Biguanides",7
2023-01-21,"Corticosteroid Hormone Receptor Agonists, Corticosteroid",9
2023-01-21,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors",10
2023-01-21,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists",9
2023-01-21,"Cytochrome P450 2D6 Inhibitors, Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",6
2023-01-21,"Increased Diuresis at Loop of Henle, Loop Diuretic",5
2023-01-21,"Increased Diuresis, Thiazide Diuretic, Thiazides",8
2023-01-21,"Insulin Analog, Insulin",6
2023-01-21,"Macrolide Antimicrobial, Macrolides",1
2023-01-21,"Penicillin-class Antibacterial, Penicillins",20
2023-01-21,"Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",9
2023-01-21,"Thyroxine, l-Thyroxine",9
2023-01-22,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist",14
2023-01-22,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors",14
2023-01-22,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity",11
2023-01-22,"Biguanide, Biguanides",16
2023-01-22,"Corticosteroid Hormone Receptor Agonists, Corticosteroid",16
2023-01-22,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors",7
2023-01-22,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists",12
2023-01-22,"Cytochrome P450 2D6 Inhibitors, Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",10
2023-01-22,"Increased Diuresis at Loop of Henle, Loop Diuretic",7
2023-01-22,"Increased Diuresis, Thiazide Diuretic, Thiazides",13
2023-01-22,"Insulin Analog, Insulin",11
2023-01-22,"Macrolide Antimicrobial, Macrolides",10
2023-01-22,"Penicillin-class Antibacterial, Penicillins",21
2023-01-22,"Serotonin Reuptake Inhibitor, Serotonin Uptake Inhibitors",9
2023-01-22,"Thyroxine, l-Thyroxine",8
2023-01-23,"Adrenergic beta2-Agonists, beta2-Adrenergic Agonist",19
2023-01-23,"Angiotensin Converting Enzyme Inhibitor, Angiotensin-converting Enzyme Inhibitors",7
2023-01-23,"Anti-epileptic Agent, Decreased Central Nervous System Disorganized Electrical Activity",8
2023-01-23,"Biguanide, Biguanides",13
2023-01-23,"Corticosteroid Hormone Receptor Agonists, Corticosteroid",9
2023-01-23,"Cytochrome P450 2C19 Inhibitors, Proton Pump Inhibitor, Proton Pump Inhibitors",10
2023-01-23,"Cytochrome P450 2C8 Inhibitors, Decreased Platelet Aggregation, P2Y12 Platelet Inhibitor, P2Y12 Receptor Antagonists",11
