PharmacistID,Shift,HoursWorked,Wage,WeekStartDate
RPH003,AM,24.94,52.84,2023-01-16
RPH003,PM,21.85,52.84,2023-01-16
RPH004,AM,18.72,55.32,2023-01-16
RPH004,PM,16.44,55.32,2023-01-16
RPH005,AM,21.73,67.41,2023-01-16
RPH005,PM,20.58,67.41,2023-01-16
RPH006,AM,17.02,47.37,2023-01-16
RPH006,PM,16.98,47.37,2023-01-16
RPH007,AM,19.09,69.78,2023-01-16
RPH007,PM,14.35,69.78,2023-01-16
RPH008,AM,17.8,58.37,2023-01-16
RPH008,PM,13.7,58.37,2023-01-16
RPH009,AM,15.23,72.85,2023-01-16
RPH009,PM,15.08,72.85,2023-01-16
RPH010,AM,18.41,69.97,2023-01-16
RPH010,PM,16.08,69.97,2023-01-16
RPH011,AM,19.86,59.87,2023-01-16
RPH011,PM,19.28,59.87,2023-01-16
RPH012,AM,19.81,60.55,2023-01-16
RPH012,PM,17.33,60.55,2023-01-16
RPH013,AM,19.14,72.36,2023-01-16
RPH013,PM,17.54,72.36,2023-01-16
RPH014,AM,16.14,70.28,2023-01-16
RPH014,PM,14.45,70.28,2023-01-16
RPH015,AM,19.5,68.32,2023-01-16
RPH015,PM,17.67,68.32,2023-01-16
RPH001,AM,20.3,60.71,2023-01-23
RPH001,PM,18.01,60.71,2023-01-23
RPH002,AM,24.38,62.5,2023-01-23
RPH002,PM,24.08,62.5,2023-01-23
RPH003,AM,22.14,52.84,2023-01-23
RPH003,PM,19.53,52.84,2023-01-23
RPH004,AM,22.31,55.32,2023-01-23
RPH004,PM,24.64,55.32,2023-01-23
RPH005,AM,27.17,67.41,2023-01-23
RPH005,PM,25.73,67.41,2023-01-23
RPH006,AM,20.58,47.37,2023-01-23
RPH006,PM,17.25,47.37,2023-01-23
RPH007,AM,28.36,69.78,2023-01-23
RPH007,PM,25.62,69.78,2023-01-23
RPH008,AM,27.56,58.37,2023-01-23
RPH008,PM,27.22,58.37,2023-01-23
RPH009,AM,23.17,72.85,2023-01-23
RPH009,PM,25.02,72.85,2023-01-23
RPH010,AM,22.45,69.97,2023-01-23
RPH010,PM,22.76,69.97,2023-01-23
RPH011,AM,20.39,59.87,2023-01-23
RPH011,PM,18.3,59.87,2023-01-23
RPH012,AM,23.25,60.55,2023-01-23
RPH012,PM,23.34,60.55,2023-01-23
RPH013,AM,20.17,72.36,2023-01-23
RPH013,PM,19.13,72.36,2023-01-23
RPH014,AM,18.2,70.28,2023-01-23
RPH014,PM,16.4,70.28,2023-01-23
RPH015,AM,19.28,68.32,2023-01-23
RPH015,PM,17.86,68.32,2023-01-23
RPH001,AM,14.19,60.71,2023-01-30
RPH001,PM,13.72,60.71,2023-01-30
RPH002,AM,16.06,62.5,2023-01-30
RPH002,PM,13.42,62.5,2023-01-30
RPH003,AM,18.43,52.84,2023-01-30
RPH003,PM,14.97,52.84,2023-01-30
RPH004,AM,9.93,55.32,2023-01-30
RPH004,PM,11.0,55.32,2023-01-30
RPH005,AM,15.48,67.41,2023-01-30
RPH005,PM,17.88,67.41,2023-01-30
RPH006,AM,16.45,47.37,2023-01-30
RPH006,PM,13.7,47.37,2023-01-30
RPH007,AM,15.46,69.78,2023-01-30
RPH007,PM,15.86,69.78,2023-01-30
RPH008,AM,14.92,58.37,2023-01-30
RPH008,PM,14.84,58.37,2023-01-30
RPH009,AM,18.37,72.85,2023-01-30
RPH009,PM,13.06,72.85,2023-01-30
RPH010,AM,12.61,69.97,2023-01-30
RPH010,PM,10.97,69.97,2023-01-30
RPH011,AM,17.76,59.87,2023-01-30
RPH011,PM,16.04,59.87,2023-01-30
RPH012,AM,15.0,60.55,2023-01-30
RPH012,PM,14.48,60.55,2023-01-30
RPH013,AM,16.03,72.36,2023-01-30
RPH013,PM,14.54,72.36,2023-01-30
RPH014,AM,18.93,70.28,2023-01-30
RPH014,PM,14.58,70.28,2023-01-30
RPH015,AM,12.52,68.32,2023-01-30
RPH015,PM,14.67,68.32,2023-01-30
RPH001,AM,12.9,60.71,2023-02-06
RPH001,PM,13.46,60.71,2023-02-06
RPH002,AM,12.38,62.5,2023-02-06
RPH002,PM,12.34,62.5,2023-02-06
RPH003,AM,13.89,52.84,2023-02-06
RPH003,PM,13.93,52.84,2023-02-06
RPH004,AM,17.44,55.32,2023-02-06
RPH004,PM,13.31,55.32,2023-02-06
RPH005,AM,9.92,67.41,2023-02-06
RPH005,PM,12.05,67.41,2023-02-06
RPH006,AM,14.56,47.37,2023-02-06
RPH006,PM,12.87,47.37,2023-02-06
RPH007,AM,12.42,69.78,2023-02-06
RPH007,PM,13.55,69.78,2023-02-06
RPH008,AM,10.19,58.37,2023-02-06
RPH008,PM,12.35,58.37,2023-02-06
RPH009,AM,15.88,72.85,2023-02-06
RPH009,PM,12.05,72.85,2023-02-06
RPH010,AM,11.35,69.97,2023-02-06
RPH010,PM,12.05,69.97,2023-02-06
RPH011,AM,16.6,59.87,2023-02-06
RPH011,PM,15.08,59.87,2023-02-06
RPH012,AM,14.06,60.55,2023-02-06
RPH012,PM,11.96,60.55,2023-02-06
RPH013,AM,15.79,72.36,2023-02-06
RPH013,PM,14.01,72.36,2023-02-06
RPH014,AM,12.85,70.28,2023-02-06
RPH014,PM,14.51,70.28,2023-02-06
RPH015,AM,16.39,68.32,2023-02-06
RPH015,PM,14.0,68.32,2023-02-06
RPH001,AM,19.97,60.71,2023-02-13
RPH001,PM,19.17,60.71,2023-02-13
RPH002,AM,23.86,62.5,2023-02-13
RPH002,PM,18.25,62.5,2023-02-13
RPH003,AM,20.77,52.84,2023-02-13
RPH003,PM,20.23,52.84,2023-02-13
RPH004,AM,22.54,55.32,2023-02-13
RPH004,PM,22.1,55.32,2023-02-13
RPH005,AM,20.72,67.41,2023-02-13
RPH005,PM,21.1,67.41,2023-02-13
RPH006,AM,20.43,47.37,2023-02-13
RPH006,PM,19.14,47.37,2023-02-13
RPH007,AM,25.97,69.78,2023-02-13
RPH007,PM,20.29,69.78,2023-02-13
RPH008,AM,24.17,58.37,2023-02-13
RPH008,PM,21.26,58.37,2023-02-13
RPH009,AM,21.04,72.85,2023-02-13
RPH009,PM,17.06,72.85,2023-02-13
RPH010,AM,18.73,69.97,2023-02-13
RPH010,PM,17.72,69.97,2023-02-13
RPH011,AM,19.68,59.87,2023-02-13
RPH011,PM,21.01,59.87,2023-02-13
RPH012,AM,23.41,60.55,2023-02-13
RPH012,PM,22.68,60.55,2023-02-13
RPH013,AM,26.71,72.36,2023-02-13
RPH013,PM,23.62,72.36,2023-02-13
RPH014,AM,23.23,70.28,2023-02-13
RPH014,PM,24.0,70.28,2023-02-13
RPH015,AM,25.38,68.32,2023-02-13
RPH015,PM,22.21,68.32,2023-02-13
RPH001,AM,24.59,60.71,2023-02-20
RPH001,PM,24.53,60.71,2023-02-20
RPH002,AM,24.69,62.5,2023-02-20
RPH002,PM,22.79,62.5,2023-02-20
RPH003,AM,22.58,52.84,2023-02-20
RPH003,PM,19.37,52.84,2023-02-20
RPH004,AM,23.83,55.32,2023-02-20
RPH004,PM,20.52,55.32,2023-02-20
RPH005,AM,22.62,67.41,2023-02-20
RPH005,PM,19.78,67.41,2023-02-20
RPH006,AM,26.69,47.37,2023-02-20
RPH006,PM,27.83,47.37,2023-02-20
RPH007,AM,19.31,69.78,2023-02-20
RPH007,PM,20.05,69.78,2023-02-20
RPH008,AM,18.73,58.37,2023-02-20
RPH008,PM,18.62,58.37,2023-02-20
RPH009,AM,20.48,72.85,2023-02-20
RPH009,PM,19.12,72.85,2023-02-20
RPH010,AM,27.85,69.97,2023-02-20
RPH010,PM,25.55,69.97,2023-02-20
RPH011,AM,25.0,59.87,2023-02-20
RPH011,PM,22.13,59.87,2023-02-20
RPH012,AM,21.6,60.55,2023-02-20
RPH012,PM,17.07,60.55,2023-02-20
RPH013,AM,20.19,72.36,2023-02-20
RPH013,PM,20.05,72.36,2023-02-20
RPH014,AM,27.27,70.28,2023-02-20
RPH014,PM,22.58,70.28,2023-02-20
RPH015,AM,19.97,68.32,2023-02-20
RPH015,PM,16.92,68.32,2023-02-20
RPH001,AM,13.12,60.71,2023-02-27
RPH001,PM,15.3,60.71,2023-02-27
RPH002,AM,13.08,62.5,2023-02-27
RPH002,PM,11.65,62.5,2023-02-27
RPH003,AM,9.13,52.84,2023-02-27
RPH003,PM,10.25,52.84,2023-02-27
RPH004,AM,12.26,55.32,2023-02-27
RPH004,PM,12.49,55.32,2023-02-27
RPH005,AM,16.02,67.41,2023-02-27
RPH005,PM,14.49,67.41,2023-02-27
RPH006,AM,12.43,47.37,2023-02-27
RPH006,PM,10.57,47.37,2023-02-27
RPH007,AM,15.48,69.78,2023-02-27
RPH007,PM,15.62,69.78,2023-02-27
RPH008,AM,12.56,58.37,2023-02-27
RPH008,PM,14.65,58.37,2023-02-27
RPH009,AM,13.8,72.85,2023-02-27
RPH009,PM,12.16,72.85,2023-02-27
RPH010,AM,15.99,69.97,2023-02-27
RPH010,PM,14.49,69.97,2023-02-27
RPH011,AM,14.14,59.87,2023-02-27
RPH011,PM,15.51,59.87,2023-02-27
RPH012,AM,16.57,60.55,2023-02-27
RPH012,PM,15.12,60.55,2023-02-27
RPH013,AM,18.21,72.36,2023-02-27
RPH013,PM,13.72,72.36,2023-02-27
RPH014,AM,14.31,70.28,2023-02-27
RPH014,PM,11.94,70.28,2023-02-27
RPH015,AM,14.22,68.32,2023-02-27
RPH015,PM,13.86,68.32,2023-02-27
RPH001,AM,18.86,60.71,2023-03-06
RPH001,PM,14.39,60.71,2023-03-06
RPH002,AM,16.57,62.5,2023-03-06
RPH002,PM,19.4,62.5,2023-03-06
RPH003,AM,15.16,52.84,2023-03-06
RPH003,PM,13.71,52.84,2023-03-06
RPH004,AM,11.83,55.32,2023-03-06
RPH004,PM,10.56,55.32,2023-03-06
RPH005,AM,15.52,67.41,2023-03-06
RPH005,PM,16.68,67.41,2023-03-06
RPH006,AM,14.01,47.37,2023-03-06
RPH006,PM,14.46,47.37,2023-03-06
RPH007,AM,15.47,69.78,2023-03-06
RPH007,PM,14.34,69.78,2023-03-06
RPH008,AM,17.03,58.37,2023-03-06
RPH008,PM,16.52,58.37,2023-03-06
RPH009,AM,14.43,72.85,2023-03-06
RPH009,PM,12.71,72.85,2023-03-06
RPH010,AM,11.98,69.97,2023-03-06
RPH010,PM,12.01,69.97,2023-03-06
RPH011,AM,18.01,59.87,2023-03-06
RPH011,PM,14.24,59.87,2023-03-06
RPH012,AM,15.12,60.55,2023-03-06
RPH012,PM,17.29,60.55,2023-03-06
RPH013,AM,18.3,72.36,2023-03-06
RPH013,PM,14.19,72.36,2023-03-06
RPH014,AM,12.19,70.28,2023-03-06
RPH014,PM,11.22,70.28,2023-03-06
RPH015,AM,16.95,68.32,2023-03-06
RPH015,PM,16.03,68.32,2023-03-06
RPH001,AM,22.41,60.71,2023-03-13
RPH001,PM,20.86,60.71,2023-03-13
RPH002,AM,24.77,62.5,2023-03-13
RPH002,PM,18.8,62.5,2023-03-13
RPH003,AM,19.75,52.84,2023-03-13
RPH003,PM,18.93,52.84,2023-03-13
RPH004,AM,19.34,55.32,2023-03-13
RPH004,PM,19.71,55.32,2023-03-13
RPH005,AM,28.82,67.41,2023-03-13
RPH005,PM,23.04,67.41,2023-03-13
RPH006,AM,23.49,47.37,2023-03-13
RPH006,PM,22.85,47.37,2023-03-13
RPH007,AM,19.62,69.78,2023-03-13
RPH007,PM,17.4,69.78,2023-03-13
RPH008,AM,24.85,58.37,2023-03-13
RPH008,PM,20.82,58.37,2023-03-13
RPH009,AM,24.17,72.85,2023-03-13
RPH009,PM,21.65,72.85,2023-03-13
RPH010,AM,26.64,69.97,2023-03-13
RPH010,PM,24.95,69.97,2023-03-13
RPH011,AM,28.48,59.87,2023-03-13
RPH011,PM,28.37,59.87,2023-03-13
RPH012,AM,15.79,60.55,2023-03-13
RPH012,PM,18.15,60.55,2023-03-13
RPH013,AM,28.64,72.36,2023-03-13
RPH013,PM,24.14,72.36,2023-03-13
RPH014,AM,19.88,70.28,2023-03-13
RPH014,PM,19.37,70.28,2023-03-13
RPH015,AM,19.21,68.32,2023-03-13
RPH015,PM,21.65,68.32,2023-03-13
RPH001,AM,15.37,60.71,2023-03-20
RPH001,PM,12.53,60.71,2023-03-20
RPH002,AM,18.37,62.5,2023-03-20
RPH002,PM,19.09,62.5,2023-03-20
RPH003,AM,14.95,52.84,2023-03-20
RPH003,PM,13.47,52.84,2023-03-20
RPH004,AM,17.76,55.32,2023-03-20
RPH004,PM,14.96,55.32,2023-03-20
RPH005,AM,17.13,67.41,2023-03-20
RPH005,PM,12.67,67.41,2023-03-20
RPH006,AM,16.76,47.37,2023-03-20
RPH006,PM,18.93,47.37,2023-03-20
RPH007,AM,16.84,69.78,2023-03-20
RPH007,PM,15.81,69.78,2023-03-20
RPH008,AM,13.76,58.37,2023-03-20
RPH008,PM,12.68,58.37,2023-03-20
RPH009,AM,10.37,72.85,2023-03-20
RPH009,PM,11.89,72.85,2023-03-20
RPH010,AM,15.89,69.97,2023-03-20
RPH010,PM,12.69,69.97,2023-03-20
RPH011,AM,12.92,59.87,2023-03-20
RPH011,PM,13.4,59.87,2023-03-20
RPH012,AM,13.5,60.55,2023-03-20
RPH012,PM,13.46,60.55,2023-03-20
RPH013,AM,17.23,72.36,2023-03-20
RPH013,PM,14.1,72.36,2023-03-20
RPH014,AM,15.42,70.28,2023-03-20
RPH014,PM,15.4,70.28,2023-03-20
RPH015,AM,13.78,68.32,2023-03-20
RPH015,PM,11.6,68.32,2023-03-20
RPH001,AM,21.69,60.71,2023-03-27
RPH001,PM,19.32,60.71,2023-03-27
RPH002,AM,17.6,62.5,2023-03-27
RPH002,PM,13.77,62.5,2023-03-27
RPH003,AM,20.76,52.84,2023-03-27
RPH003,PM,18.89,52.84,2023-03-27
RPH004,AM,13.46,55.32,2023-03-27
RPH004,PM,13.91,55.32,2023-03-27
RPH005,AM,20.97,67.41,2023-03-27
RPH005,PM,20.06,67.41,2023-03-27
RPH006,AM,18.31,47.37,2023-03-27
RPH006,PM,18.43,47.37,2023-03-27
RPH007,AM,16.48,69.78,2023-03-27
RPH007,PM,19.12,69.78,2023-03-27
RPH008,AM,17.38,58.37,2023-03-27
RPH008,PM,17.27,58.37,2023-03-27
RPH009,AM,21.22,72.85,2023-03-27
RPH009,PM,19.08,72.85,2023-03-27
RPH010,AM,14.05,69.97,2023-03-27
RPH010,PM,15.3,69.97,2023-03-27
RPH011,AM,13.77,59.87,2023-03-27
RPH011,PM,14.9,59.87,2023-03-27
RPH012,AM,18.97,60.55,2023-03-27
RPH012,PM,18.48,60.55,2023-03-27
RPH013,AM,13.96,72.36,2023-03-27
RPH013,PM,13.5,72.36,2023-03-27
RPH014,AM,18.65,70.28,2023-03-27
RPH014,PM,13.24,70.28,2023-03-27
RPH015,AM,21.39,68.32,2023-03-27
RPH015,PM,18.05,68.32,2023-03-27
RPH001,AM,20.47,60.71,2023-04-03
RPH001,PM,17.2,60.71,2023-04-03
RPH002,AM,23.26,62.5,2023-04-03
RPH002,PM,23.14,62.5,2023-04-03
RPH003,AM,21.76,52.84,2023-04-03
RPH003,PM,19.29,52.84,2023-04-03
RPH004,AM,23.37,55.32,2023-04-03
RPH004,PM,21.32,55.32,2023-04-03
RPH005,AM,18.7,67.41,2023-04-03
RPH005,PM,19.64,67.41,2023-04-03
RPH006,AM,18.42,47.37,2023-04-03
RPH006,PM,17.01,47.37,2023-04-03
RPH007,AM,20.99,69.78,2023-04-03
RPH007,PM,19.35,69.78,2023-04-03
RPH008,AM,22.7,58.37,2023-04-03
RPH008,PM,19.04,58.37,2023-04-03
RPH009,AM,24.51,72.85,2023-04-03
RPH009,PM,21.0,72.85,2023-04-03
RPH010,AM,27.55,69.97,2023-04-03
RPH010,PM,26.58,69.97,2023-04-03
RPH011,AM,25.92,59.87,2023-04-03
RPH011,PM,23.38,59.87,2023-04-03
RPH012,AM,23.19,60.55,2023-04-03
RPH012,PM,18.8,60.55,2023-04-03
RPH013,AM,21.88,72.36,2023-04-03
RPH013,PM,19.69,72.36,2023-04-03
RPH014,AM,18.8,70.28,2023-04-03
RPH014,PM,16.06,70.28,2023-04-03
RPH015,AM,22.49,68.32,2023-04-03
RPH015,PM,23.81,68.32,2023-04-03
RPH001,AM,22.5,60.71,2023-04-10
RPH001,PM,19.81,60.71,2023-04-10
RPH002,AM,17.66,62.5,2023-04-10
RPH002,PM,18.0,62.5,2023-04-10
RPH003,AM,17.84,52.84,2023-04-10
RPH003,PM,17.95,52.84,2023-04-10
RPH004,AM,19.94,55.32,2023-04-10
RPH004,PM,17.09,55.32,2023-04-10
RPH005,AM,18.09,67.41,2023-04-10
RPH005,PM,17.77,67.41,2023-04-10
RPH006,AM,21.82,47.37,2023-04-10
RPH006,PM,19.7,47.37,2023-04-10
RPH007,AM,16.51,69.78,2023-04-10
RPH007,PM,18.07,69.78,2023-04-10
RPH008,AM,21.68,58.37,2023-04-10
RPH008,PM,15.35,58.37,2023-04-10
RPH009,AM,21.86,72.85,2023-04-10
RPH009,PM,22.51,72.85,2023-04-10
RPH010,AM,16.25,69.97,2023-04-10
RPH010,PM,17.69,69.97,2023-04-10
RPH011,AM,19.4,59.87,2023-04-10
RPH011,PM,16.49,59.87,2023-04-10
RPH012,AM,19.95,60.55,2023-04-10
RPH012,PM,18.52,60.55,2023-04-10
RPH013,AM,18.63,72.36,2023-04-10
RPH013,PM,16.83,72.36,2023-04-10
RPH014,AM,18.31,70.28,2023-04-10
RPH014,PM,18.45,70.28,2023-04-10
RPH015,AM,20.7,68.32,2023-04-10
RPH015,PM,17.05,68.32,2023-04-10
RPH001,AM,15.27,60.71,2023-04-17
RPH001,PM,11.45,60.71,2023-04-17
RPH002,AM,15.64,62.5,2023-04-17
RPH002,PM,13.44,62.5,2023-04-17
RPH003,AM,20.48,52.84,2023-04-17
RPH003,PM,19.3,52.84,2023-04-17
RPH004,AM,22.59,55.32,2023-04-17
RPH004,PM,21.74,55.32,2023-04-17
RPH005,AM,15.58,67.41,2023-04-17
RPH005,PM,17.55,67.41,2023-04-17
RPH006,AM,16.49,47.37,2023-04-17
RPH006,PM,12.52,47.37,2023-04-17
RPH007,AM,17.49,69.78,2023-04-17
RPH007,PM,14.51,69.78,2023-04-17
RPH008,AM,17.74,58.37,2023-04-17
RPH008,PM,15.33,58.37,2023-04-17
RPH009,AM,16.31,72.85,2023-04-17
RPH009,PM,11.49,72.85,2023-04-17
RPH010,AM,18.98,69.97,2023-04-17
RPH010,PM,17.18,69.97,2023-04-17
RPH011,AM,17.01,59.87,2023-04-17
RPH011,PM,14.61,59.87,2023-04-17
RPH012,AM,20.89,60.55,2023-04-17
RPH012,PM,18.42,60.55,2023-04-17
RPH013,AM,19.16,72.36,2023-04-17
RPH013,PM,17.09,72.36,2023-04-17
RPH014,AM,19.48,70.28,2023-04-17
RPH014,PM,17.31,70.28,2023-04-17
RPH015,AM,14.94,68.32,2023-04-17
RPH015,PM,14.88,68.32,2023-04-17
RPH001,AM,18.31,60.71,2023-04-24
RPH001,PM,18.1,60.71,2023-04-24
RPH002,AM,16.02,62.5,2023-04-24
RPH002,PM,17.12,62.5,2023-04-24
RPH003,AM,29.23,52.84,2023-04-24
RPH003,PM,22.65,52.84,2023-04-24
RPH004,AM,20.13,55.32,2023-04-24
RPH004,PM,16.5,55.32,2023-04-24
RPH005,AM,19.58,67.41,2023-04-24
RPH005,PM,17.83,67.41,2023-04-24
RPH006,AM,18.91,47.37,2023-04-24
RPH006,PM,17.95,47.37,2023-04-24
RPH007,AM,20.72,69.78,2023-04-24
RPH007,PM,21.31,69.78,2023-04-24
RPH008,AM,25.67,58.37,2023-04-24
RPH008,PM,24.96,58.37,2023-04-24
RPH009,AM,17.73,72.85,2023-04-24
RPH009,PM,17.87,72.85,2023-04-24
RPH010,AM,20.61,69.97,2023-04-24
RPH010,PM,16.55,69.97,2023-04-24
RPH011,AM,26.93,59.87,2023-04-24
RPH011,PM,21.97,59.87,2023-04-24
RPH012,AM,21.39,60.55,2023-04-24
RPH012,PM,20.62,60.55,2023-04-24
RPH013,AM,18.4,72.36,2023-04-24
RPH013,PM,17.1,72.36,2023-04-24
RPH014,AM,17.03,70.28,2023-04-24
RPH014,PM,17.68,70.28,2023-04-24
RPH015,AM,27.53,68.32,2023-04-24
RPH015,PM,25.75,68.32,2023-04-24
RPH001,AM,13.4,60.71,2023-05-01
RPH001,PM,9.63,60.71,2023-05-01
RPH002,AM,12.11,62.5,2023-05-01
RPH002,PM,9.35,62.5,2023-05-01
RPH003,AM,9.61,52.84,2023-05-01
RPH003,PM,10.81,52.84,2023-05-01
RPH004,AM,14.57,55.32,2023-05-01
RPH004,PM,12.77,55.32,2023-05-01
RPH005,AM,12.65,67.41,2023-05-01
RPH005,PM,14.5,67.41,2023-05-01
RPH006,AM,13.69,47.37,2023-05-01
RPH006,PM,9.34,47.37,2023-05-01
RPH007,AM,12.95,69.78,2023-05-01
RPH007,PM,12.0,69.78,2023-05-01
RPH008,AM,13.95,58.37,2023-05-01
RPH008,PM,12.01,58.37,2023-05-01
RPH009,AM,14.31,72.85,2023-05-01
RPH009,PM,13.48,72.85,2023-05-01
RPH010,AM,12.54,69.97,2023-05-01
RPH010,PM,10.59,69.97,2023-05-01
RPH011,AM,14.38,59.87,2023-05-01
RPH011,PM,10.99,59.87,2023-05-01
RPH012,AM,15.14,60.55,2023-05-01
RPH012,PM,12.02,60.55,2023-05-01
RPH013,AM,10.24,72.36,2023-05-01
RPH013,PM,8.9,72.36,2023-05-01
RPH014,AM,13.6,70.28,2023-05-01
RPH014,PM,10.12,70.28,2023-05-01
RPH015,AM,11.16,68.32,2023-05-01
RPH015,PM,10.06,68.32,2023-05-01
RPH001,AM,23.93,60.71,2023-05-08
RPH001,PM,22.47,60.71,2023-05-08
RPH002,AM,24.77,62.5,2023-05-08
RPH002,PM,20.35,62.5,2023-05-08
RPH003,AM,24.24,52.84,2023-05-08
RPH003,PM,22.79,52.84,2023-05-08
RPH004,AM,19.9,55.32,2023-05-08
RPH004,PM,16.67,55.32,2023-05-08
RPH005,AM,15.88,67.41,2023-05-08
RPH005,PM,12.23,67.41,2023-05-08
RPH006,AM,21.03,47.37,2023-05-08
RPH006,PM,23.14,47.37,2023-05-08
RPH007,AM,17.46,69.78,2023-05-08
RPH007,PM,15.46,69.78,2023-05-08
RPH008,AM,22.08,58.37,2023-05-08
RPH008,PM,20.78,58.37,2023-05-08
RPH009,AM,14.8,72.85,2023-05-08
RPH009,PM,15.25,72.85,2023-05-08
RPH010,AM,20.64,69.97,2023-05-08
RPH010,PM,20.69,69.97,2023-05-08
RPH011,AM,18.03,59.87,2023-05-08
RPH011,PM,16.64,59.87,2023-05-08
RPH012,AM,25.94,60.55,2023-05-08
RPH012,PM,21.07,60.55,2023-05-08
RPH013,AM,22.96,72.36,2023-05-08
RPH013,PM,20.99,72.36,2023-05-08
RPH014,AM,17.31,70.28,2023-05-08
RPH014,PM,17.13,70.28,2023-05-08
RPH015,AM,18.35,68.32,2023-05-08
RPH015,PM,17.25,68.32,2023-05-08
RPH001,AM,20.75,60.71,2023-05-15
RPH001,PM,16.14,60.71,2023-05-15
RPH002,AM,25.25,62.5,2023-05-15
RPH002,PM,21.28,62.5,2023-05-15
RPH003,AM,23.34,52.84,2023-05-15
RPH003,PM,24.59,52.84,2023-05-15
