DrugName_norm,DrugClass
oracit,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
pall sterile cord blood collection,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
potassium citrate and citric acid,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
sodium citrate and citric acid,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
sterile cord blood collection msc127d,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
sterile cord blood collection msc128d,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
teruflex blood bag system anticoagulant citrate phosphate dextrose adenine cpda1,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
imuflex wbsp blood bag system with integral whole blood leukocyte reduction filter saving platelets with diversion blood sampling arm,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
d99,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Nitrate Vasodilator, Nitrates, Vasodilation"
fcs cp,"Acidifying Activity, Adrenergic alpha-Agonists, Adrenergic beta-Agonists, Adrenocorticotropic Hormone, Adrenocorticotropic Hormone, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Catecholamine, Catecholamines, Decreased Coagulation Factor Activity, alpha-Adrenergic Agonist, beta-Adrenergic Agonist"
fcs hp,"Acidifying Activity, Adrenergic alpha-Agonists, Adrenergic beta-Agonists, Adrenocorticotropic Hormone, Adrenocorticotropic Hormone, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Catecholamine, Catecholamines, Decreased Coagulation Factor Activity, alpha-Adrenergic Agonist, beta-Adrenergic Agonist"
bio coenzyme phase,"Acidifying Activity, Adrenergic alpha-Agonists, Adrenergic beta-Agonists, Analogs/Derivatives, Anti-coagulant, Ascorbic Acid, Calcium Chelating Activity, Calculi Dissolution Agent, Catecholamine, Catecholamines, Decreased Coagulation Factor Activity, Magnetic Resonance Contrast Activity, Paramagnetic Contrast Agent, Vitamin B 6, Vitamin B6 Analog, Vitamin C, alpha-Adrenergic Agonist, beta-Adrenergic Agonist"
category v,"Acidifying Activity, Adrenergic alpha-Agonists, Adrenergic beta-Agonists, Anti-coagulant, Blood Coagulation Factor, Calcium Chelating Activity, Calcium, Calculi Dissolution Agent, Catecholamine, Catecholamines, Cations, Divalent, Copper, Copper-containing Intrauterine Device, Decreased Coagulation Factor Activity, Decreased Embryonic Implantation, Decreased Sperm Motility, Increased Coagulation Factor Activity, Inhibit Ovum Fertilization, alpha-Adrenergic Agonist, beta-Adrenergic Agonist"
lipotox,"Acidifying Activity, Adrenocorticotropic Hormone, Adrenocorticotropic Hormone, Allergens, Allergens, Allergens, Allergens, Allergens, Ammonium Ion Binding Activity, Ammonium Ion Binding Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Copper Absorption Inhibitor, Corticosteroid Hormone Receptor Agonists, Corticosteroid, Decreased Coagulation Factor Activity, Decreased Copper Ion Absorption, Estradiol Congeners, Estrogen Receptor Agonists, Estrogen, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Increased IgG Production, Nitrogen Binding Agent, Nitrogen Binding Agent, Non-Standardized Plant Allergenic Extract, Pediculicide, Plant Proteins, Progesterone, Progesterone, Seed Storage Proteins, Standardized Chemical Allergen, Standardized Chemical Allergen, Standardized Chemical Allergen, Standardized Chemical Allergen"
alka seltzer originial 1s blister pack,"Acidifying Activity, Alkalinizing Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
alkaseltzer,"Acidifying Activity, Alkalinizing Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
alkaseltzer original,"Acidifying Activity, Alkalinizing Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
market basket effervescent antacid and pain relief,"Acidifying Activity, Alkalinizing Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
medique medi seltzer,"Acidifying Activity, Alkalinizing Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
walgreens antacid pain relief extra strength,"Acidifying Activity, Alkalinizing Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
isopathic phenolic rings,"Acidifying Activity, Allergens, Allergens, Allergens, Allergens, Allergens, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Central Nervous System Stimulant, Central Nervous System Stimulation, Decreased Coagulation Factor Activity, Dietary Proteins, Dietary Proteins, Dietary Proteins, Dietary Proteins, Food Additives, Fungal Proteins, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Increased IgG Production, Methylxanthine, Non-Standardized Food Allergenic Extract, Non-Standardized Food Allergenic Extract, Non-Standardized Food Allergenic Extract, Non-Standardized Food Allergenic Extract, Non-Standardized Fungal Allergenic Extract, Non-Standardized Plant Allergenic Extract, Plant Proteins, Plant Proteins, Seed Storage Proteins, Vegetable Proteins, Xanthines"
addiclenz,"Acidifying Activity, Allergens, Allergens, Allergens, Allergens, Ammonium Ion Binding Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Copper Absorption Inhibitor, Copper, Copper-containing Intrauterine Device, Decreased Coagulation Factor Activity, Decreased Copper Ion Absorption, Decreased Embryonic Implantation, Decreased Sperm Motility, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Inhibit Ovum Fertilization, Nitrogen Binding Agent, Standardized Chemical Allergen, Standardized Chemical Allergen, Standardized Chemical Allergen, Standardized Chemical Allergen"
insecticidespestfood additives detox,"Acidifying Activity, Allergens, Allergens, Allergens, Allergens, Ammonium Ion Binding Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Copper Absorption Inhibitor, Copper, Copper-containing Intrauterine Device, Decreased Coagulation Factor Activity, Decreased Copper Ion Absorption, Decreased Embryonic Implantation, Decreased Sperm Motility, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Inhibit Ovum Fertilization, Nitrogen Binding Agent, Standardized Chemical Allergen, Standardized Chemical Allergen, Standardized Chemical Allergen, Standardized Chemical Allergen"
allerchord f,"Acidifying Activity, Allergens, Allergens, Allergens, Allergens, Anti-coagulant, Blood Coagulation Factor, Calcium Chelating Activity, Calcium, Calculi Dissolution Agent, Cations, Divalent, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Central Nervous System Stimulant, Central Nervous System Stimulation, Corticosteroid Hormone Receptor Agonists, Corticosteroid, Decreased Coagulation Factor Activity, Dietary Proteins, Dietary Proteins, Fungal Proteins, Fungal Proteins, Increased Coagulation Factor Activity, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Increased IgG Production, Increased IgG Production, Increased Large Intestinal Motility, Inhibition Large Intestine Fluid/Electrolyte Absorption, Methylxanthine, Milk Proteins, Non-Standardized Food Allergenic Extract, Non-Standardized Food Allergenic Extract, Non-Standardized Fungal Allergenic Extract, Non-Standardized Fungal Allergenic Extract, Non-Standardized Plant Allergenic Extract, Osmotic Activity, Osmotic Laxative, Plant Proteins, Seed Storage Proteins, Xanthines"
additox,"Acidifying Activity, Allergens, Allergens, Allergens, Ammonium Ion Binding Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Copper Absorption Inhibitor, Decreased Coagulation Factor Activity, Decreased Copper Ion Absorption, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Nitrogen Binding Agent, Standardized Chemical Allergen, Standardized Chemical Allergen, Standardized Chemical Allergen"
adaptopath,"Acidifying Activity, Allergens, Allergens, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Cell-mediated Immunity, Copper, Copper-containing Intrauterine Device, Decreased Coagulation Factor Activity, Decreased Embryonic Implantation, Decreased Sperm Motility, Dietary Proteins, Dietary Proteins, Increased Histamine Release, Increased Histamine Release, Inhibit Ovum Fertilization, Magnetic Resonance Contrast Activity, Non-Standardized Food Allergenic Extract, Non-Standardized Food Allergenic Extract, Non-Standardized Plant Allergenic Extract, Non-Standardized Plant Allergenic Extract, Paramagnetic Contrast Agent, Plant Proteins, Plant Proteins, Vegetable Proteins"
kidnex,"Acidifying Activity, Allergens, Allergens, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Cell-mediated Immunity, Copper, Copper-containing Intrauterine Device, Decreased Coagulation Factor Activity, Decreased Embryonic Implantation, Decreased Sperm Motility, Increased Histamine Release, Increased Histamine Release, Increased IgG Production, Inhibit Ovum Fertilization, Non-Standardized Plant Allergenic Extract, Plant Proteins, Seed Storage Proteins, Standardized Chemical Allergen"
allerchord a,"Acidifying Activity, Allergens, Allergens, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Cell-mediated Immunity, Decreased Coagulation Factor Activity, Dietary Proteins, Dietary Proteins, Food Additives, Increased Histamine Release, Increased Histamine Release, Non-Standardized Food Allergenic Extract, Non-Standardized Food Allergenic Extract, Non-Standardized Plant Allergenic Extract, Plant Proteins, Vegetable Proteins"
refl hs,"Acidifying Activity, Allergens, Allergens, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Cell-mediated Immunity, Decreased Coagulation Factor Activity, Dietary Proteins, Food Additives, Increased Histamine Release, Increased Histamine Release, Increased IgG Production, Non-Standardized Food Allergenic Extract, Non-Standardized Plant Allergenic Extract, Plant Proteins, Seed Storage Proteins"
reflux,"Acidifying Activity, Allergens, Allergens, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Cell-mediated Immunity, Decreased Coagulation Factor Activity, Dietary Proteins, Food Additives, Increased Histamine Release, Increased Histamine Release, Increased IgG Production, Non-Standardized Food Allergenic Extract, Non-Standardized Plant Allergenic Extract, Plant Proteins, Seed Storage Proteins"
heartex,"Acidifying Activity, Allergens, Allergens, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Cell-mediated Immunity, Decreased Coagulation Factor Activity, Increased Histamine Release, Increased Histamine Release, Standardized Chemical Allergen, Standardized Chemical Allergen"
n03,"Acidifying Activity, Allergens, Ammonium Ion Binding Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Decreased Coagulation Factor Activity, Dietary Proteins, Increased Histamine Release, Nitrogen Binding Agent, Non-Standardized Food Allergenic Extract, Plant Proteins"
metabopath,"Acidifying Activity, Allergens, Analogs/Derivatives, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Copper Absorption Inhibitor, Decreased Coagulation Factor Activity, Decreased Copper Ion Absorption, Dietary Proteins, Increased Histamine Release, Magnetic Resonance Contrast Activity, Non-Standardized Food Allergenic Extract, Non-Standardized Plant Allergenic Extract, Paramagnetic Contrast Agent, Plant Proteins, Vitamin B 6, Vitamin B6 Analog"
a12,"Acidifying Activity, Allergens, Anti-coagulant, Bee Venoms, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Decreased Coagulation Factor Activity, Increased Histamine Release, Increased IgG Production, Increased Large Intestinal Motility, Inhibition Large Intestine Fluid/Electrolyte Absorption, Osmotic Activity, Osmotic Laxative, Standardized Insect Venom Allergenic Extract"
guna flam relief,"Acidifying Activity, Allergens, Anti-coagulant, Bee Venoms, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Decreased Coagulation Factor Activity, Increased Histamine Release, Increased IgG Production, Iron, Parenteral Iron Replacement, Phosphate Binder, Phosphate Chelating Activity, Standardized Insect Venom Allergenic Extract"
gunaflam,"Acidifying Activity, Allergens, Anti-coagulant, Bee Venoms, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Decreased Coagulation Factor Activity, Increased Histamine Release, Increased IgG Production, Iron, Parenteral Iron Replacement, Phosphate Binder, Phosphate Chelating Activity, Standardized Insect Venom Allergenic Extract"
infla,"Acidifying Activity, Allergens, Anti-coagulant, Bee Venoms, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Decreased Coagulation Factor Activity, Increased Histamine Release, Increased IgG Production, Standardized Insect Venom Allergenic Extract"
hepatictone,"Acidifying Activity, Allergens, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Cell-mediated Immunity, Decreased Coagulation Factor Activity, Increased Histamine Release, Increased IgG Production, Increased Large Intestinal Motility, Inhibition Large Intestine Fluid/Electrolyte Absorption, Inhibition Small Intestine Fluid/Electrolyte Absorption, Magnesium Ion Exchange Activity, Non-Standardized Plant Allergenic Extract, Osmotic Activity, Osmotic Laxative, Plant Proteins, Seed Storage Proteins, Stimulation Large Intestine Fluid/Electrolyte Secretion"
endocrinpath,"Acidifying Activity, Allergens, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Decreased Coagulation Factor Activity, Dietary Proteins, Increased Histamine Release, Non-Standardized Food Allergenic Extract, Non-Standardized Plant Allergenic Extract, Plant Proteins"
herbal diuretic liquescence,"Acidifying Activity, Allergens, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Decreased Coagulation Factor Activity, Dietary Proteins, Increased Histamine Release, Non-Standardized Food Allergenic Extract, Plant Proteins"
refresh nature cream,"Acidifying Activity, Allergens, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Decreased Coagulation Factor Activity, Glycerol, Increased Histamine Release, Increased IgG Production, Non-Standardized Chemical Allergen"
hzchord,"Acidifying Activity, Allergens, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Decreased Coagulation Factor Activity, Increased Histamine Release, Increased IgG Production, Non-Standardized Plant Allergenic Extract, Plant Proteins, Seed Storage Proteins"
metab,"Acidifying Activity, Amino Acid, Amino Acids, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity"
glucoreg,"Acidifying Activity, Analogs/Derivatives, Anti-coagulant, Antihypoglycemic Agent, Ascorbic Acid, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased GI Motility, Decreased GI Smooth Muscle Tone, Decreased Glycolysis, Gastrointestinal Motility Inhibitor, Increased Gluconeogenesis, Increased Glycogenolysis, Vitamin B 6, Vitamin B6 Analog, Vitamin C"
intracell,"Acidifying Activity, Analogs/Derivatives, Anti-coagulant, Ascorbic Acid, Blood Coagulation Factor, Calcium Chelating Activity, Calcium, Calculi Dissolution Agent, Calculi Dissolution Agent, Carnitine Analog, Carnitine, Cations, Divalent, Copper Absorption Inhibitor, Decreased Coagulation Factor Activity, Decreased Copper Ion Absorption, Depigmenting Activity, Increased Coagulation Factor Activity, Increased Large Intestinal Motility, Inhibition Large Intestine Fluid/Electrolyte Absorption, Inhibition Small Intestine Fluid/Electrolyte Absorption, Iron, Magnesium Ion Exchange Activity, Magnetic Resonance Contrast Activity, Magnetic Resonance Contrast Activity, Melanin Synthesis Inhibitor, Melanin Synthesis Inhibitors, Nicotinic Acid, Nicotinic Acids, Osmotic Activity, Osmotic Laxative, Paramagnetic Contrast Agent, Paramagnetic Contrast Agent, Parenteral Iron Replacement, Phosphate Binder, Phosphate Chelating Activity, Stimulation Large Intestine Fluid/Electrolyte Secretion, Vitamin B 12, Vitamin B 6, Vitamin B12, Vitamin B6 Analog, Vitamin C"
