DrugID,DrugName,DrugClass
4374-2059-02,Intestinal Distress,"Acetylcholine Release Inhibitor, Acetylcholine Release Inhibitors, Allergens, Antimalarial, Cell-mediated Immunity, Increased Histamine Release, Increased IgG Production, Non-Standardized Plant Allergenic Extract, Plant Proteins, Seed Storage Proteins"
4374-2001-52,Biological Complex,"Acetylcholine Release Inhibitor, Acetylcholine Release Inhibitors, Blood Coagulation Factor, Calcium, Cations, Divalent, Increased Coagulation Factor Activity, Increased Large Intestinal Motility, Inhibition Large Intestine Fluid/Electrolyte Absorption, Osmotic Activity, Osmotic Laxative"
4385-7042-02,BAC,"Acetylcholine Release Inhibitor, Acetylcholine Release Inhibitors, Neuromuscular Blockade, Neuromuscular Blocker"
0002-3114-52,BOTOX,"Acetylcholine Release Inhibitor, Acetylcholine Release Inhibitors, Neuromuscular Blockade, Neuromuscular Blocker"
5167-2130-12,Ammonium Lactate,Acidifying Activity
0821-6023-82,Cornex,Acidifying Activity
0693-6732-22,"Potassium Citrate, Sodium Citrate, and Citric Acid","Acidifying Activity, Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
0012-1067-72,TRICITRATES,"Acidifying Activity, Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
4385-7022-32,Dairy Antigens,"Acidifying Activity, Acidifying Activity, Allergens, Allergens, Allergens, Anti-coagulant, Anti-coagulant, Blood Coagulation Factor, Calcium Chelating Activity, Calcium Chelating Activity, Calcium, Calculi Dissolution Agent, Calculi Dissolution Agent, Cations, Divalent, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity, Dietary Proteins, Dietary Proteins, Dietary Proteins, Increased Coagulation Factor Activity, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Milk Proteins, Milk Proteins, Milk Proteins, Non-Standardized Food Allergenic Extract, Non-Standardized Food Allergenic Extract, Non-Standardized Food Allergenic Extract"
0145-3781-52,ACD,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
0094-2900-12,ACD Blood-Pack Units (PL 146 PLASTIC),"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
0094-2064-12,ACD-A,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
0145-3796-62,AS,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
0145-3782-42,Additive Formula 3,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
2373-1605-12,Anticoagulant Citrate Dextrose A,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
0094-2920-12,Anticoagulant Citrate Phosphate Dextrose (CPD) Blood-Pack Units in PL 146 Plastic,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
0094-2920-62,CPD,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
0094-2630-52,CPDA-1,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
0531-5713-02,CPDA-1 Blood Collection System,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
0578-2646-22,Haemonetics Additive Solution Formula 3 (AS-3),"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
0578-2642-62,Haemonetics Anticoagulant Citrate Dextrose Solution,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
0578-2645-52,Haemonetics Anticoagulant Citrate Phosphate Double Dextrose Solution (CP2D),"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
0531-5713-62,Leukotrap WB System,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
0462-8701-42,Oracit,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
0531-5779-12,Pall Sterile Cord Blood Collection Unit,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
0012-1067-62,Potassium Citrate and Citric Acid,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
0012-1059-52,Sodium Citrate and Citric Acid,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
0144-9800-32,Sterile Cord Blood Collection Unit (MSC127D),"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
0144-9800-42,Sterile Cord Blood Collection Unit (MSC128D),"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
0538-7700-12,TERUFLEX Blood Bag System Anticoagulant Citrate Phosphate Dextrose Adenine (CPDA-1),"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
0538-7701-02,imuflex wb-sp blood bag system with integral whole blood leukocyte reduction filter (saving platelets) with diversion blood sampling arm,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Anti-coagulant, Calcium Chelating Activity, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Decreased Coagulation Factor Activity"
5826-4010-52,D-99,"Acidifying Activity, Acidifying Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Decreased Coagulation Factor Activity, Nitrate Vasodilator, Nitrates, Vasodilation"
4340-6069-72,FCS CP,"Acidifying Activity, Adrenergic alpha-Agonists, Adrenergic beta-Agonists, Adrenocorticotropic Hormone, Adrenocorticotropic Hormone, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Catecholamine, Catecholamines, Decreased Coagulation Factor Activity, alpha-Adrenergic Agonist, beta-Adrenergic Agonist"
4340-6069-62,FCS HP,"Acidifying Activity, Adrenergic alpha-Agonists, Adrenergic beta-Agonists, Adrenocorticotropic Hormone, Adrenocorticotropic Hormone, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Catecholamine, Catecholamines, Decreased Coagulation Factor Activity, alpha-Adrenergic Agonist, beta-Adrenergic Agonist"
4374-2101-62,Bio Co-Enzyme Phase,"Acidifying Activity, Adrenergic alpha-Agonists, Adrenergic beta-Agonists, Analogs/Derivatives, Anti-coagulant, Ascorbic Acid, Calcium Chelating Activity, Calculi Dissolution Agent, Catecholamine, Catecholamines, Decreased Coagulation Factor Activity, Magnetic Resonance Contrast Activity, Paramagnetic Contrast Agent, Vitamin B 6, Vitamin B6 Analog, Vitamin C, alpha-Adrenergic Agonist, beta-Adrenergic Agonist"
0646-1608-62,Category V,"Acidifying Activity, Adrenergic alpha-Agonists, Adrenergic beta-Agonists, Anti-coagulant, Blood Coagulation Factor, Calcium Chelating Activity, Calcium, Calculi Dissolution Agent, Catecholamine, Catecholamines, Cations, Divalent, Copper, Copper-containing Intrauterine Device, Decreased Coagulation Factor Activity, Decreased Embryonic Implantation, Decreased Sperm Motility, Increased Coagulation Factor Activity, Inhibit Ovum Fertilization, alpha-Adrenergic Agonist, beta-Adrenergic Agonist"
4385-7038-42,Lipotox,"Acidifying Activity, Adrenocorticotropic Hormone, Adrenocorticotropic Hormone, Allergens, Allergens, Allergens, Allergens, Allergens, Ammonium Ion Binding Activity, Ammonium Ion Binding Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Copper Absorption Inhibitor, Corticosteroid Hormone Receptor Agonists, Corticosteroid, Decreased Coagulation Factor Activity, Decreased Copper Ion Absorption, Estradiol Congeners, Estrogen Receptor Agonists, Estrogen, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Increased IgG Production, Nitrogen Binding Agent, Nitrogen Binding Agent, Non-Standardized Plant Allergenic Extract, Pediculicide, Plant Proteins, Progesterone, Progesterone, Seed Storage Proteins, Standardized Chemical Allergen, Standardized Chemical Allergen, Standardized Chemical Allergen, Standardized Chemical Allergen"
0502-6930-72,Alka Seltzer Originial 1s Blister Pack,"Acidifying Activity, Alkalinizing Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
6671-5510-62,Alka-Seltzer,"Acidifying Activity, Alkalinizing Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
0028-0400-02,Alka-Seltzer Original,"Acidifying Activity, Alkalinizing Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
0539-4242-12,Market Basket Effervescent Antacid and Pain Relief,"Acidifying Activity, Alkalinizing Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
0476-8213-52,Medique Medi Seltzer,"Acidifying Activity, Alkalinizing Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
0036-3054-12,Walgreens Antacid Pain Relief Extra Strength,"Acidifying Activity, Alkalinizing Activity, Anti-Inflammatory Agents, Non-Steroidal, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cyclooxygenase Inhibitors, Decreased Coagulation Factor Activity, Decreased Platelet Aggregation, Decreased Prostaglandin Production, Nonsteroidal Anti-inflammatory Drug, Platelet Aggregation Inhibitor"
6457-8010-92,Isopathic Phenolic Rings,"Acidifying Activity, Allergens, Allergens, Allergens, Allergens, Allergens, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Central Nervous System Stimulant, Central Nervous System Stimulation, Decreased Coagulation Factor Activity, Dietary Proteins, Dietary Proteins, Dietary Proteins, Dietary Proteins, Food Additives, Fungal Proteins, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Increased IgG Production, Methylxanthine, Non-Standardized Food Allergenic Extract, Non-Standardized Food Allergenic Extract, Non-Standardized Food Allergenic Extract, Non-Standardized Food Allergenic Extract, Non-Standardized Fungal Allergenic Extract, Non-Standardized Plant Allergenic Extract, Plant Proteins, Plant Proteins, Seed Storage Proteins, Vegetable Proteins, Xanthines"
4374-2108-72,Addiclenz,"Acidifying Activity, Allergens, Allergens, Allergens, Allergens, Ammonium Ion Binding Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Copper Absorption Inhibitor, Copper, Copper-containing Intrauterine Device, Decreased Coagulation Factor Activity, Decreased Copper Ion Absorption, Decreased Embryonic Implantation, Decreased Sperm Motility, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Inhibit Ovum Fertilization, Nitrogen Binding Agent, Standardized Chemical Allergen, Standardized Chemical Allergen, Standardized Chemical Allergen, Standardized Chemical Allergen"
6218-5002-62,Insecticides/Pest/Food Additives Detox,"Acidifying Activity, Allergens, Allergens, Allergens, Allergens, Ammonium Ion Binding Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Copper Absorption Inhibitor, Copper, Copper-containing Intrauterine Device, Decreased Coagulation Factor Activity, Decreased Copper Ion Absorption, Decreased Embryonic Implantation, Decreased Sperm Motility, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Inhibit Ovum Fertilization, Nitrogen Binding Agent, Standardized Chemical Allergen, Standardized Chemical Allergen, Standardized Chemical Allergen, Standardized Chemical Allergen"
6457-8014-82,Aller-Chord F,"Acidifying Activity, Allergens, Allergens, Allergens, Allergens, Anti-coagulant, Blood Coagulation Factor, Calcium Chelating Activity, Calcium, Calculi Dissolution Agent, Cations, Divalent, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Central Nervous System Stimulant, Central Nervous System Stimulation, Corticosteroid Hormone Receptor Agonists, Corticosteroid, Decreased Coagulation Factor Activity, Dietary Proteins, Dietary Proteins, Fungal Proteins, Fungal Proteins, Increased Coagulation Factor Activity, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Increased IgG Production, Increased IgG Production, Increased Large Intestinal Motility, Inhibition Large Intestine Fluid/Electrolyte Absorption, Methylxanthine, Milk Proteins, Non-Standardized Food Allergenic Extract, Non-Standardized Food Allergenic Extract, Non-Standardized Fungal Allergenic Extract, Non-Standardized Fungal Allergenic Extract, Non-Standardized Plant Allergenic Extract, Osmotic Activity, Osmotic Laxative, Plant Proteins, Seed Storage Proteins, Xanthines"
4385-7048-72,Additox,"Acidifying Activity, Allergens, Allergens, Allergens, Ammonium Ion Binding Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Cell-mediated Immunity, Cell-mediated Immunity, Copper Absorption Inhibitor, Decreased Coagulation Factor Activity, Decreased Copper Ion Absorption, Increased Histamine Release, Increased Histamine Release, Increased Histamine Release, Nitrogen Binding Agent, Standardized Chemical Allergen, Standardized Chemical Allergen, Standardized Chemical Allergen"
6457-8009-52,Adaptopath,"Acidifying Activity, Allergens, Allergens, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Cell-mediated Immunity, Copper, Copper-containing Intrauterine Device, Decreased Coagulation Factor Activity, Decreased Embryonic Implantation, Decreased Sperm Motility, Dietary Proteins, Dietary Proteins, Increased Histamine Release, Increased Histamine Release, Inhibit Ovum Fertilization, Magnetic Resonance Contrast Activity, Non-Standardized Food Allergenic Extract, Non-Standardized Food Allergenic Extract, Non-Standardized Plant Allergenic Extract, Non-Standardized Plant Allergenic Extract, Paramagnetic Contrast Agent, Plant Proteins, Plant Proteins, Vegetable Proteins"
4491-1044-12,Kidnex,"Acidifying Activity, Allergens, Allergens, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Cell-mediated Immunity, Copper, Copper-containing Intrauterine Device, Decreased Coagulation Factor Activity, Decreased Embryonic Implantation, Decreased Sperm Motility, Increased Histamine Release, Increased Histamine Release, Increased IgG Production, Inhibit Ovum Fertilization, Non-Standardized Plant Allergenic Extract, Plant Proteins, Seed Storage Proteins, Standardized Chemical Allergen"
6457-8005-72,Aller-Chord A,"Acidifying Activity, Allergens, Allergens, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Cell-mediated Immunity, Decreased Coagulation Factor Activity, Dietary Proteins, Dietary Proteins, Food Additives, Increased Histamine Release, Increased Histamine Release, Non-Standardized Food Allergenic Extract, Non-Standardized Food Allergenic Extract, Non-Standardized Plant Allergenic Extract, Plant Proteins, Vegetable Proteins"
4374-2196-92,REFL HS,"Acidifying Activity, Allergens, Allergens, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Cell-mediated Immunity, Decreased Coagulation Factor Activity, Dietary Proteins, Food Additives, Increased Histamine Release, Increased Histamine Release, Increased IgG Production, Non-Standardized Food Allergenic Extract, Non-Standardized Plant Allergenic Extract, Plant Proteins, Seed Storage Proteins"
4374-2073-92,Reflux,"Acidifying Activity, Allergens, Allergens, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Cell-mediated Immunity, Decreased Coagulation Factor Activity, Dietary Proteins, Food Additives, Increased Histamine Release, Increased Histamine Release, Increased IgG Production, Non-Standardized Food Allergenic Extract, Non-Standardized Plant Allergenic Extract, Plant Proteins, Seed Storage Proteins"
4491-1035-12,Heartex,"Acidifying Activity, Allergens, Allergens, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Cell-mediated Immunity, Decreased Coagulation Factor Activity, Increased Histamine Release, Increased Histamine Release, Standardized Chemical Allergen, Standardized Chemical Allergen"
6347-9140-32,N03,"Acidifying Activity, Allergens, Ammonium Ion Binding Activity, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Decreased Coagulation Factor Activity, Dietary Proteins, Increased Histamine Release, Nitrogen Binding Agent, Non-Standardized Food Allergenic Extract, Plant Proteins"
6457-8010-22,Metabopath,"Acidifying Activity, Allergens, Analogs/Derivatives, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Copper Absorption Inhibitor, Decreased Coagulation Factor Activity, Decreased Copper Ion Absorption, Dietary Proteins, Increased Histamine Release, Magnetic Resonance Contrast Activity, Non-Standardized Food Allergenic Extract, Non-Standardized Plant Allergenic Extract, Paramagnetic Contrast Agent, Plant Proteins, Vitamin B 6, Vitamin B6 Analog"
6347-9011-22,A12,"Acidifying Activity, Allergens, Anti-coagulant, Bee Venoms, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Decreased Coagulation Factor Activity, Increased Histamine Release, Increased IgG Production, Increased Large Intestinal Motility, Inhibition Large Intestine Fluid/Electrolyte Absorption, Osmotic Activity, Osmotic Laxative, Standardized Insect Venom Allergenic Extract"
0170-8946-42,GUNA FLAM RELIEF,"Acidifying Activity, Allergens, Anti-coagulant, Bee Venoms, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Decreased Coagulation Factor Activity, Increased Histamine Release, Increased IgG Production, Iron, Parenteral Iron Replacement, Phosphate Binder, Phosphate Chelating Activity, Standardized Insect Venom Allergenic Extract"
0170-8941-72,GUNA-FLAM,"Acidifying Activity, Allergens, Anti-coagulant, Bee Venoms, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Decreased Coagulation Factor Activity, Increased Histamine Release, Increased IgG Production, Iron, Parenteral Iron Replacement, Phosphate Binder, Phosphate Chelating Activity, Standardized Insect Venom Allergenic Extract"
0637-7624-92,Infla,"Acidifying Activity, Allergens, Anti-coagulant, Bee Venoms, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Decreased Coagulation Factor Activity, Increased Histamine Release, Increased IgG Production, Standardized Insect Venom Allergenic Extract"
6457-8008-52,Hepatic-Tone,"Acidifying Activity, Allergens, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Calculi Dissolution Agent, Cell-mediated Immunity, Decreased Coagulation Factor Activity, Increased Histamine Release, Increased IgG Production, Increased Large Intestinal Motility, Inhibition Large Intestine Fluid/Electrolyte Absorption, Inhibition Small Intestine Fluid/Electrolyte Absorption, Magnesium Ion Exchange Activity, Non-Standardized Plant Allergenic Extract, Osmotic Activity, Osmotic Laxative, Plant Proteins, Seed Storage Proteins, Stimulation Large Intestine Fluid/Electrolyte Secretion"
6457-8010-12,Endocrinpath,"Acidifying Activity, Allergens, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Decreased Coagulation Factor Activity, Dietary Proteins, Increased Histamine Release, Non-Standardized Food Allergenic Extract, Non-Standardized Plant Allergenic Extract, Plant Proteins"
6308-3301-12,Herbal Diuretic Liquescence,"Acidifying Activity, Allergens, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Decreased Coagulation Factor Activity, Dietary Proteins, Increased Histamine Release, Non-Standardized Food Allergenic Extract, Plant Proteins"
0827-9030-12,Refresh Nature Cream,"Acidifying Activity, Allergens, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Decreased Coagulation Factor Activity, Glycerol, Increased Histamine Release, Increased IgG Production, Non-Standardized Chemical Allergen"
6457-8006-52,HZ-Chord,"Acidifying Activity, Allergens, Anti-coagulant, Calcium Chelating Activity, Calculi Dissolution Agent, Cell-mediated Immunity, Decreased Coagulation Factor Activity, Increased Histamine Release, Increased IgG Production, Non-Standardized Plant Allergenic Extract, Plant Proteins, Seed Storage Proteins"
